nombre;edad;ciudad;departamento;salario;fecha_ingreso;bono;activo;salario_anual;compensacion_total;objetivo_ventas;cumple_objetivo
Ana;50;Madrid;IT;92077.70;2018-01-01;1528.00;True;1171898.00;93605.70;500000;True
Luis;36;Barcelona;RRHH;49769.00;2018-02-15;11394.00;True;696766.00;61163.00;200000;True
Carlos;29;Valencia;IT;62984.01;2018-04-01;3556.00;False;62984.01;66540.01;500000;True
María;42;Sevilla;Marketing;62984.01;2018-05-16;3890.00;True;62984.01;66874.01;800000;False
Pedro;40;Bilbao;IT;62984.01;2018-06-30;8838.00;True;62984.01;71822.01;500000;True
Laura;44;;RRHH;71434.00;2018-08-14;14356.00;True;1000076.00;85790.00;200000;True
José;32;Barcelona;Marketing;55658.00;2018-09-28;11080.00;False;779212.00;66738.00;800000;False
Sofía;32;Málaga;IT;53836.20;2018-11-12;14502.00;True;685188.00;68338.20;500000;True
Miguel;45;Valencia;RRHH;87001.00;2018-12-27;5393.00;True;1218014.00;92394.00;200000;True
Elena;57;Madrid;Marketing;48431.00;2019-02-10;10627.00;True;678034.00;59058.00;800000;False
Carmen;23;Bilbao;IT;33207.90;2019-08-09;8433.00;True;422646.00;41640.90;500000;True
Raúl;45;Valencia;Marketing;49118.00;2019-09-23;10233.00;False;687652.00;59351.00;800000;False
Julia;51;Málaga;RRHH;65773.00;2019-11-07;11016.00;True;920822.00;76789.00;200000;True
Marcos;59;Madrid;IT;92191.00;2019-12-22;7513.00;True;1173340.00;99704.00;500000;True
Clara;23;Sevilla;Marketing;31899.00;2020-02-05;2612.00;True;446586.00;34511.00;800000;False
Andrés;42;Barcelona;IT;95574.60;2020-03-21;7041.00;True;1216404.00;102615.60;500000;True
Valeria;54;Valencia;RRHH;31267.00;2020-05-05;9555.00;False;437738.00;40822.00;200000;True
